"Index","Mean_gwlevel","Med_baseflow","Ceaseflow_days","Totalflow","CTFlow_days","CTFlow_events","CTFmid_days","CTFmid_events","CTFhigh_days","CTFhigh_events","RRGMS","RRGRR","BBMS","BBRR","LGMS","LGRR","WCMS","WCRR"
1954,NA,244.66,0,362348.27,48,1,32,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,1620.18,0,2214238.04,209,7,54,3,33,2,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,3913.4,0,4544656.73,329,2,184,5,120,5,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,551.71,0,206116.67,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,307.82,0,321138.98,44,4,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,881.99,0,565196.97,96,4,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,371.88,0,320327.98,44,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,198.62,0,219389.04,30,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,1033.46,0,797092.35,168,3,13,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,1743.86,0,1100625.44,220,4,38,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,1813.57,0,1075179.97,218,6,24,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,72.67,0,84463.06,9,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,42.37,8,80888.65,10,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,43.93,32,76194.61,9,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,201.95,0,452446.38,64,5,17,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,379.22,0,436192.31,68,8,8,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,174.37,0,169391.06,22,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,1018.93,0,2345185.9,146,2,52,3,31,1,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,81.22,0,135994.13,19,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,129.4,0,183486.98,18,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,209.16,0,1060976.62,36,2,23,1,18,1,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,229.68,0,275254.19,36,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,682.61,0,1555504.67,91,5,56,2,34,2,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,1207.36,0,2247366.03,176,6,90,5,46,2,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,704.85,0,1018320.91,144,5,49,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,174.39,0,111124.1,5,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,73.82,0,51424.41,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,69.74,5,100553.15,14,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,17.18,7,27668,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,193.16,0,497147.62,61,5,23,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,1046.15,0,1683977.04,151,6,92,3,31,3,NA,NA,NA,NA,NA,NA,NA,NA
1985,16.38,76.37,0,123899.49,21,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1986,16.39,75.58,0,141818.2,20,3,0,0,0,0,3.84,5.44,0.72,3.84,2.48,10.32,3.6,2.4
1987,16.38,128.11,0,160901.26,20,3,0,0,0,0,6.4,6.08,1.28,4.96,4.88,7.2,8.56,4.08
1988,16.36,228.5,0,280847.1,44,7,2,1,0,0,8.96,13.12,2.56,13.12,6.32,16.72,9.28,9.12
1989,16.36,275.98,0,963775.61,120,2,52,4,12,2,43.76,64.56,33.92,22.4,35.52,93.12,8.64,30.16
1990,16.36,922.48,0,1371989.76,146,3,95,4,20,2,64.32,74.32,77.76,19.28,69.44,116.8,23.76,50.32
1991,16.4,214.39,0,812946.04,81,4,49,5,13,3,35.52,45.12,14.8,29.84,26.4,41.28,25.92,24.8
1992,16.39,90.18,0,187867.59,18,2,8,1,0,0,5.12,8.96,2.56,7.68,3.84,1.28,7.68,7.68
1993,16.38,68.07,2,146767.35,21,4,0,0,0,0,4.8,4.8,1.12,4.16,4,8.32,4.64,2.88
1994,16.4,10.87,55,31507.23,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1995,16.42,0.33,174,148944.23,14,1,10,1,3,1,6.72,6.72,1.12,6.72,5.6,1.12,8.96,6.72
1996,16.43,29.86,1,282290.38,55,5,8,2,0,0,20.88,30.64,6.88,29.12,13.04,5.44,28.32,25.76
1997,16.41,90.57,0,400627.95,48,3,26,2,3,1,22,35.44,13.28,23.2,14.8,6.72,23.52,29.12
1998,16.42,230.48,0,3337136.26,159,4,104,3,59,2,70.8,50.16,100.08,4.32,80.64,109.92,26.16,47.52
1999,16.45,83.34,0,139009.84,15,3,0,0,0,0,5.6,3.92,0.72,4.32,4.56,3.28,6.4,4.96
2000,16.43,71.02,0,901742.59,44,2,27,2,16,1,23.2,27.6,8.08,27.2,17.28,12.72,22.16,19.12
2001,16.43,80.75,0,106926.25,9,2,0,0,0,0,1.92,3.2,0.64,2.56,1.28,0.64,3.84,3.84
2002,16.41,13.07,0,19937.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,16.42,5.55,47,33319.04,3,1,0,0,0,0,0.96,0.72,0.24,0.96,0.96,0,1.44,1.2
2004,16.44,15.11,86,333887.57,30,3,12,1,8,1,12.48,13.44,3.36,14.4,9.6,2,17.2,13.2
2005,16.44,43.61,49,198016.29,22,1,9,1,2,1,6.64,7.36,1.52,3.52,4.88,13.2,4.32,1.2
2006,16.48,9.31,126,12291.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,16.49,0,211,54553.07,9,2,0,0,0,0,2.8,2.8,1.12,3.36,2.8,0.56,3.36,3.36
2008,16.5,2.98,98,86529.62,16,3,0,0,0,0,5.6,4.96,1.36,7.2,4.56,0.16,7.84,7.2
2009,16.52,2.99,116,46219.98,7,1,0,0,0,0,2.64,3.12,0.48,3.2,1.84,0.48,3.84,3.04
2010,16.5,69.04,109,1561208.13,108,3,60,5,37,2,67.68,74.08,42.4,43.68,50.4,46.72,58.24,44.16
2011,16.52,41.08,0,112330.32,15,0,8,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
